time	V_out	V_in
0.000000000000000e+00	1.000750e+00	4.802596e-15
1.752152391285805e-06	9.788359e-01	2.203919e-03
3.504304782571609e-06	9.564780e-01	4.404236e-03
5.256457173857414e-06	9.336768e-01	6.600951e-03
7.008609565143219e-06	9.104321e-01	8.794064e-03
8.760761956429024e-06	8.867440e-01	1.098357e-02
1.051291434771483e-05	8.626126e-01	1.316948e-02
1.226506673900063e-05	8.380377e-01	1.535179e-02
2.026506673900169e-05	7.209683e-01	2.519148e-02
2.826506673900275e-05	5.966218e-01	3.477678e-02
3.626506673900382e-05	4.662536e-01	4.401092e-02
4.426506673900488e-05	3.311804e-01	5.280063e-02
5.226506673900594e-05	1.927659e-01	6.105717e-02
6.026506673900700e-05	5.240772e-02	6.869715e-02
6.826506673900806e-05	-8.847676e-02	7.564342e-02
7.626506673900912e-05	-2.284650e-01	8.182586e-02
8.426506673901019e-05	-3.661434e-01	8.718202e-02
9.226506673901125e-05	-5.001218e-01	9.165782e-02
1.002650667390123e-04	-6.290473e-01	9.520806e-02
1.082650667390134e-04	-7.516181e-01	9.779689e-02
1.162650667390144e-04	-8.665963e-01	9.939817e-02
1.242650667390155e-04	-9.728212e-01	9.999573e-02
1.322650667390166e-04	-1.069220e+00	9.958354e-02
1.402650667390176e-04	-1.154819e+00	9.816577e-02
1.482650667390187e-04	-1.228755e+00	9.575671e-02
1.562650667390197e-04	-1.290280e+00	9.238070e-02
1.642650667390208e-04	-1.338773e+00	8.807185e-02
1.722650667390219e-04	-1.373745e+00	8.287363e-02
1.802650667390229e-04	-1.394842e+00	7.683858e-02
1.882650667390240e-04	-1.401852e+00	7.002760e-02
1.962650667390251e-04	-1.394704e+00	6.250948e-02
2.042650667390261e-04	-1.373469e+00	5.436016e-02
2.122650667390272e-04	-1.338363e+00	4.566190e-02
2.202650667390282e-04	-1.289739e+00	3.650255e-02
2.282650667390293e-04	-1.228090e+00	2.697460e-02
2.362650667390304e-04	-1.154037e+00	1.717426e-02
2.442650667390314e-04	-1.068328e+00	7.200493e-03
2.522650667390325e-04	-9.718288e-01	-2.845983e-03
2.602650667390335e-04	-8.655136e-01	-1.286372e-02
2.682650667390346e-04	-7.504562e-01	-2.275156e-02
2.762650667390357e-04	-6.278183e-01	-3.240965e-02
2.842650667390367e-04	-4.988383e-01	-4.174048e-02
2.922650667390378e-04	-3.648188e-01	-5.064981e-02
3.002650667390389e-04	-2.271129e-01	-5.904768e-02
3.082650667390399e-04	-8.711129e-02	-6.684928e-02
