Sample,Time(S),CH1(V),CH2(V)
140,-0.00146,-0.00303609,-0.790901
141,-0.001459,-0.00455413,-0.784829
142,-0.001458,-0.00455413,-0.774203
143,-0.001457,-0.00455413,-0.765094
144,-0.001456,-0.00607218,-0.754468
145,-0.001455,-0.00455413,-0.746878
146,-0.001454,-0.00759022,-0.73777
147,-0.001453,-0.00759022,-0.727143
148,-0.001452,-0.00910827,-0.718035
149,-0.001451,-0.00759022,-0.708927
150,-0.00145,-0.00910827,-0.699818
151,-0.001449,-0.00910827,-0.689192
152,-0.001448,-0.00759022,-0.680084
153,-0.001447,-0.00759022,-0.672494
154,-0.001446,-0.00607218,-0.661867
155,-0.001445,-0.00910827,-0.654277
156,-0.001444,-0.00910827,-0.646687
157,-0.001443,-0.00910827,-0.637579
158,-0.001442,-0.0121444,-0.62847
159,-0.001441,-0.0121444,-0.617844
160,-0.00144,-0.0121444,-0.610254
161,-0.001439,-0.0121444,-0.601146
162,-0.001438,-0.0121444,-0.592037
163,-0.001437,-0.0121444,-0.582929
164,-0.001436,-0.0121444,-0.573821
165,-0.001435,-0.0136624,-0.564712
166,-0.001434,-0.0166985,-0.55864
167,-0.001433,-0.0166985,-0.548014
168,-0.001432,-0.0166985,-0.537388
169,-0.001431,-0.0166985,-0.531316
170,-0.00143,-0.0197346,-0.520689
171,-0.001429,-0.0166985,-0.510063
172,-0.001428,-0.0197346,-0.502473
173,-0.001427,-0.0197346,-0.491846
174,-0.001426,-0.0197346,-0.48122
175,-0.001425,-0.0197346,-0.475148
176,-0.001424,-0.0182165,-0.464522
177,-0.001423,-0.0212526,-0.453895
178,-0.001422,-0.0212526,-0.444787
179,-0.001421,-0.0197346,-0.438715
180,-0.00142,-0.0227707,-0.42657
181,-0.001419,-0.0258068,-0.417462
182,-0.001418,-0.0258068,-0.406836
183,-0.001417,-0.0273248,-0.397728
184,-0.001416,-0.0273248,-0.387101
185,-0.001415,-0.0273248,-0.377993
186,-0.001414,-0.0273248,-0.370403
187,-0.001413,-0.0273248,-0.359776
188,-0.001412,-0.0258068,-0.350668
189,-0.001411,-0.0288428,-0.34156
190,-0.00141,-0.0303609,-0.332452
191,-0.001409,-0.0303609,-0.321825
192,-0.001408,-0.0288428,-0.311199
193,-0.001407,-0.0318789,-0.303609
194,-0.001406,-0.0318789,-0.292983
195,-0.001405,-0.033397,-0.280838
196,-0.001404,-0.033397,-0.27173
197,-0.001403,-0.033397,-0.262622
198,-0.001402,-0.0318789,-0.251995
199,-0.001401,-0.033397,-0.242887
200,-0.0014,-0.033397,-0.233779
201,-0.001399,-0.033397,-0.224671
202,-0.001398,-0.034915,-0.212526
203,-0.001397,-0.034915,-0.203418
204,-0.001396,-0.0364331,-0.19431
205,-0.001395,-0.0364331,-0.183683
