time	V_out	V_in
1.722609541817855e-02	1.563755e+00	-7.659936e-02
1.748418693603570e-02	1.457643e+00	-7.113747e-02
1.774227845389285e-02	1.340427e+00	-6.512907e-02
1.795851729317856e-02	1.235291e+00	-5.975939e-02
1.817475613246428e-02	1.125779e+00	-5.418120e-02
1.839099497175000e-02	1.011893e+00	-4.839451e-02
1.860723381103572e-02	8.936317e-01	-4.239932e-02
1.882347265032143e-02	7.709956e-01	-3.619562e-02
1.903971148960715e-02	6.439847e-01	-2.978343e-02
1.925595032889287e-02	5.125989e-01	-2.316273e-02
1.936058202532144e-02	4.486387e-01	-1.994429e-02
1.946521372175002e-02	3.843685e-01	-1.671307e-02
1.956984541817859e-02	3.197885e-01	-1.346908e-02
1.967447711460716e-02	2.548986e-01	-1.021230e-02
1.977910881103574e-02	1.896988e-01	-6.942745e-03
1.988374050746431e-02	1.241891e-01	-3.660411e-03
1.998837220389288e-02	5.836960e-02	-3.652972e-04
2.003022488246431e-02	3.207921e-02	9.500962e-04
2.007207756103574e-02	5.794676e-03	2.264758e-03
2.011393023960717e-02	-2.048401e-02	3.578687e-03
2.015578291817860e-02	-4.675684e-02	4.891884e-03
2.019763559675003e-02	-7.302383e-02	6.204349e-03
2.023948827532145e-02	-9.928496e-02	7.516083e-03
2.028134095389288e-02	-1.255402e-01	8.827084e-03
2.043480077532146e-02	-2.220942e-01	1.364442e-02
2.058826059675003e-02	-3.175840e-01	1.840281e-02
2.074172041817860e-02	-4.120098e-01	2.310225e-02
2.089518023960718e-02	-5.053714e-01	2.774275e-02
2.104864006103575e-02	-5.976690e-01	3.232430e-02
2.120209988246433e-02	-6.889025e-01	3.684690e-02
2.135555970389290e-02	-7.790719e-01	4.131056e-02
2.161365122175005e-02	-9.277348e-01	4.865437e-02
2.187174273960719e-02	-1.068154e+00	5.557311e-02
2.212983425746434e-02	-1.200329e+00	6.206676e-02
2.238792577532148e-02	-1.324261e+00	6.813533e-02
2.264601729317863e-02	-1.439949e+00	7.377882e-02
2.290410881103578e-02	-1.547393e+00	7.899723e-02
2.316220032889292e-02	-1.646593e+00	8.379056e-02
2.338541461460721e-02	-1.722612e+00	8.743953e-02
2.360862890032150e-02	-1.789475e+00	9.062626e-02
2.383184318603579e-02	-1.847180e+00	9.335075e-02
2.405505747175008e-02	-1.895728e+00	9.561299e-02
2.427827175746437e-02	-1.935119e+00	9.741298e-02
2.450148604317866e-02	-1.965353e+00	9.875073e-02
2.472470032889295e-02	-1.986429e+00	9.962623e-02
2.489211104317866e-02	-1.995385e+00	9.993989e-02
2.505952175746438e-02	-1.998843e+00	9.997914e-02
2.522693247175010e-02	-1.996803e+00	9.974398e-02
2.539434318603581e-02	-1.989265e+00	9.923443e-02
2.556175390032153e-02	-1.976230e+00	9.845047e-02
2.572916461460725e-02	-1.957697e+00	9.739210e-02
2.589657532889296e-02	-1.933666e+00	9.605933e-02
2.615466684675011e-02	-1.884998e+00	9.342560e-02
2.641275836460726e-02	-1.825143e+00	9.024101e-02
2.667084988246440e-02	-1.754101e+00	8.650558e-02
2.692894140032155e-02	-1.671873e+00	8.221930e-02
