time	V_out	V_in
1.474596412148269e-04	-3.866790e-01	1.589386e-02
1.490596412148243e-04	-3.834994e-01	5.905011e-03
1.506596412148217e-04	-3.764571e-01	-4.143462e-03
1.522596412148192e-04	-3.656230e-01	-1.415009e-02
1.538596412148166e-04	-3.511063e-01	-2.401384e-02
1.554596412148140e-04	-3.330532e-01	-3.363509e-02
1.570596412148115e-04	-3.116460e-01	-4.291670e-02
1.586596412148089e-04	-2.871004e-01	-5.176494e-02
1.602596412148063e-04	-2.596643e-01	-6.009046e-02
1.618596412148038e-04	-2.296143e-01	-6.780918e-02
1.634596412148012e-04	-1.972538e-01	-7.484317e-02
1.650596412147987e-04	-1.629093e-01	-8.112139e-02
1.666596412147961e-04	-1.269274e-01	-8.658046e-02
1.682596412147935e-04	-8.967128e-02	-9.116524e-02
1.698596412147910e-04	-5.151697e-02	-9.482943e-02
1.714596412147884e-04	-1.284953e-02	-9.753604e-02
1.730596412147858e-04	2.594074e-02	-9.925774e-02
1.746596412147833e-04	6.446233e-02	-9.997714e-02
1.762596412147807e-04	1.023264e-01	-9.968697e-02
1.778596412147782e-04	1.391508e-01	-9.839015e-02
1.794596412147756e-04	1.745639e-01	-9.609981e-02
1.810596412147730e-04	2.082082e-01	-9.283905e-02
1.826596412147705e-04	2.397441e-01	-8.864080e-02
1.842596412147679e-04	2.688534e-01	-8.354747e-02
1.858596412147653e-04	2.952422e-01	-7.761046e-02
1.874596412147628e-04	3.186443e-01	-7.088976e-02
1.890596412147602e-04	3.388235e-01	-6.345321e-02
1.906596412147576e-04	3.555761e-01	-5.537592e-02
1.922596412147551e-04	3.687332e-01	-4.673944e-02
1.938596412147525e-04	3.781620e-01	-3.763098e-02
1.954596412147500e-04	3.837675e-01	-2.814253e-02
1.970596412147474e-04	3.854931e-01	-1.836990e-02
1.986596412147448e-04	3.833216e-01	-8.411771e-03
1.999999999999988e-04	-nan	-nan
